full_name,age,position,Current Club,minutes_played,nationality,appearances,goals,assists,clean_sheets,conceded,yellow_cards,red_cards
Kazaiah Sterling,23,Forward,Tottenham Hotspur,0,England,0,0,0,0,0,0,0
Kelechi Iheanacho,26,Forward,Leicester City,926,Nigeria,30,1,3,6,11,2,0
Kelland Watts,23,Midfielder,Newcastle United,0,England,0,0,0,0,0,0,0
Ken Sema,29,Midfielder,Watford,755,Sweden,17,1,2,6,8,1,0
Kenneth Dahrup Zohorè,28,Forward,Cardiff City,746,Denmark,19,1,1,5,15,1,0
Kepa Arrizabalaga,28,Goalkeeper,Chelsea,3240,Spain,36,0,0,14,38,2,0
Kevin De Bruyne,31,Midfielder,Manchester City,974,Belgium,19,2,2,12,3,2,0
Kevin Long,32,Defender,Burnley,513,Republic of Ireland,6,0,1,1,7,0,0
Kevin McDonald,33,Midfielder,Fulham,842,Scotland,15,0,0,0,25,6,1
Kieran Dowell,25,Midfielder,Everton,0,England,0,0,0,0,0,0,0
Kieran Trippier,32,Defender,Tottenham Hotspur,2278,England,27,1,3,10,20,2,0
Konstantinos Mavropanos,24,Defender,Arsenal,150,Greece,4,0,0,1,1,1,0
Kortney Hause,27,Defender,Wolverhampton Wanderers,0,England,0,0,0,0,0,0,0
Kurt Zouma,28,Defender,Everton,2610,France,32,2,2,11,37,5,1
Kyle Taylor,23,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0,0,0
Kyle Walker,32,Defender,Manchester City,2777,England,33,1,1,18,17,3,0
Kyle Walker-Peters,25,Defender,Tottenham Hotspur,374,England,6,0,3,3,4,1,0
Laurent Depoitre,33,Forward,Huddersfield Town,1059,Belgium,23,0,1,3,22,1,0
Laurent Koscielny,37,Defender,Arsenal,1328,France,17,3,0,4,21,1,0
Lazar Marković,28,Midfielder,Fulham,44,Serbia,1,0,0,0,0,0,0
Leander Dendoncker,27,Midfielder,Wolverhampton Wanderers,1469,Belgium,19,2,0,4,19,1,0
Leandro Bacuna,31,Midfielder,Cardiff City,554,Curaçao,11,0,0,4,11,2,0
Lee Grant,39,Goalkeeper,Manchester United,0,England,0,0,0,0,0,0,0
Lee Peltier,35,Defender,Cardiff City,1542,England,20,0,0,6,21,4,0
Leighton Baines,37,Defender,Everton,376,England,6,0,0,1,6,0,0
Leon Balogun,34,Defender,Brighton & Hove Albion,591,Nigeria,8,1,0,0,9,2,0
Leonardo Bonatini Lohner Maia,28,Forward,Wolverhampton Wanderers,128,Brazil,7,0,1,3,0,0,0
Leroy Sané,26,Midfielder,Manchester City,1867,Germany,31,10,10,16,14,1,0
Lewis Cass,22,Defender,Newcastle United,0,England,0,0,0,0,0,0,0
Lewis Cook,25,Midfielder,AFC Bournemouth,721,England,13,0,0,3,10,2,0
Lewis Dunk,30,Defender,Brighton & Hove Albion,3153,England,36,2,1,7,53,7,1
Loïc Damour,31,Midfielder,Cardiff City,21,France,2,0,0,0,2,0,0
Loris Karius,29,Goalkeeper,Liverpool,0,Germany,0,0,0,0,0,0,0
Luca de la Torre,24,Midfielder,Fulham,0,USA,0,0,0,0,0,0,0
Lucas Digne,29,Defender,Everton,2990,France,35,4,4,14,36,6,1
Lucas Perez,34,Forward,West Ham United,468,Spain,15,3,0,3,9,0,0
Lucas Rodrigues Moura da Silva,30,Midfielder,Tottenham Hotspur,2127,Brazil,32,10,0,12,16,3,0
Lucas Torreira,26,Midfielder,Arsenal,2377,Uruguay,34,2,2,6,35,8,1
Luciano Vietto,28,Forward,Fulham,983,Argentina,20,1,4,1,21,1,0
Luka Milivojević,31,Midfielder,Crystal Palace,3420,Serbia,38,12,2,12,47,10,0
Luke Amos,25,Midfielder,Tottenham Hotspur,2,England,1,0,0,0,0,0,0
Luke Dreher,23,Midfielder,Crystal Palace,0,England,1,0,0,0,0,0,0
Luke Shaw,27,Defender,Manchester United,2592,England,29,1,4,6,36,11,0
peirre,26,Forward,AFC Bournemouth,345,France,24,1,0,5,13,1,0
,40,Goalkeeper,Everton,0,Netherlands,0,0,0,0,0,0,0
Mamadou Sakho,32,Defender,Crystal Palace,2417,France,27,0,0,9,32,2,0
Manolo Gabbiadini,30,Forward,Southampton,470,Italy,12,1,0,3,11,0,0
Manuel Lanzini,29,Midfielder,West Ham United,688,Argentina,10,1,1,2,11,2,0
Marc Albrighton,32,Midfielder,Leicester City,1626,England,27,2,2,9,17,3,0
Marc Guehi,22,Defender,Chelsea,0,England,0,0,0,0,0,0,0
Marc Navarro Ceciliano,27,Defender,Watford,84,Spain,2,0,0,0,2,0,0
Marc Pugh,35,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0,0,0
Marcos Alonso,31,Defender,Chelsea,2761,Spain,31,2,4,14,28,6,0
Marcus Bettinelli,30,Goalkeeper,Fulham,630,England,7,0,0,0,19,1,0
Marcus Rashford,25,Forward,Manchester United,2362,England,33,10,6,6,34,4,1
Mario Lemina,29,Midfielder,Southampton,1615,Gabon,21,1,1,4,32,5,0
Mark Noble,35,Midfielder,West Ham United,2308,England,31,5,5,7,29,7,1
Mark Travers,23,Goalkeeper,AFC Bournemouth,180,Republic of Ireland,2,0,0,1,5,0,0
Marko Arnautović,33,Forward,West Ham United,2000,Austria,28,10,4,5,31,3,0
Markus Suttner,35,Defender,Brighton & Hove Albion,0,Austria,0,0,0,0,0,0,0
Marouane Fellaini,34,Midfielder,Manchester United,744,Belgium,14,0,1,2,13,1,0
Martin Dúbravka,33,Goalkeeper,Newcastle United,3420,Slovakia,38,0,0,11,44,1,0
Martin Kelly,32,Defender,Crystal Palace,1110,England,13,0,0,3,18,2,0
Martín Montoya,31,Defender,Brighton & Hove Albion,2166,Spain,25,0,1,3,38,4,0
Mason Greenwood,21,Midfielder,Manchester United,115,England,3,0,0,0,2,0,0
Mason Holgate,26,Defender,Everton,407,England,5,0,0,0,9,1,0
Matěj Vydra,30,Forward,Burnley,311,Czech Republic,13,1,1,1,4,1,0
Mateo Kovačić,28,Midfielder,Chelsea,1743,Croatia,32,0,2,12,18,3,0
Mathew Ryan,30,Goalkeeper,Brighton & Hove Albion,3060,Australia,34,0,0,6,52,2,0
Mathias Jattah-Njie Jørgensen,32,Defender,Huddersfield Town,2148,Denmark,24,3,1,3,37,6,0
Matt Butcher,25,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0,0,0
Matt Doherty,30,Defender,Wolverhampton Wanderers,3147,Republic of Ireland,38,4,5,9,38,5,0
Matt Ritchie,33,Midfielder,Newcastle United,2940,Scotland,36,2,8,11,37,9,0
Matt Targett,27,Defender,Southampton,1185,England,16,1,3,1,24,2,0
Matteo Darmian,32,Defender,Manchester United,443,Italy,6,0,0,1,7,0,0
Mattéo Guendouzi Olié,23,Midfielder,Arsenal,2143,France,33,0,0,4,28,9,0
Matthew Connolly,35,Defender,Cardiff City,0,England,0,0,0,0,0,0,0
Matthew Lowton,33,Defender,Burnley,1748,England,21,0,0,4,35,7,0
Matty Daly,21,Midfielder,Huddersfield Town,73,England,2,0,0,0,1,0,0
Max Harrison Sanders,23,Midfielder,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0
Max Kilman,25,Defender,Wolverhampton Wanderers,0,England,1,0,0,1,0,0,0
Max Meyer,27,Midfielder,Crystal Palace,1414,Germany,29,1,2,8,19,3,0
Maxime Le Marchand,33,Defender,Fulham,2251,France,26,0,1,4,50,5,0
Maya Yoshida,34,Defender,Southampton,1520,Japan,17,0,1,3,27,0,0
Mesut Özil,34,Midfielder,Arsenal,1741,Germany,24,5,2,6,23,2,0
Michael Keane,29,Defender,Everton,2970,England,33,1,2,13,37,2,0
Michael Obafemi,22,Forward,Southampton,134,Republic of Ireland,6,1,1,0,2,1,0
Michail Antonio,32,Midfielder,West Ham United,2099,England,33,6,4,5,26,3,0
Michel Vorm,39,Goalkeeper,Tottenham Hotspur,180,Netherlands,2,0,0,0,4,0,0
Michy Batshuayi,29,Forward,Crystal Palace,756,Belgium,11,5,0,3,11,0,0
Miguel Ángel Almirón Rejala,28,Midfielder,Newcastle United,763,Paraguay,10,0,0,3,10,0,0
Miguel Ángel Britos Cabrera,37,Defender,Watford,185,Uruguay,3,0,0,1,5,0,0
Mohamed Diamé,35,Midfielder,Newcastle United,2165,Senegal,29,0,0,9,28,3,0
Mohamed Elneny,30,Midfielder,Arsenal,381,Egypt,8,0,0,2,4,0,0
Mohamed Elyounoussi,28,Midfielder,Southampton,790,Norway,16,0,0,4,8,0,0
Mohamed Salah,30,Forward,Liverpool,3262,Egypt,38,22,8,21,18,1,0
Morgan Gibbs-White,22,Midfielder,Wolverhampton Wanderers,647,England,26,0,1,5,9,1,0
Morgan Schneiderlin,32,Midfielder,Everton,833,France,14,0,1,7,9,2,0
Moussa Dembele,35,Midfielder,Tottenham Hotspur,516,Belgium,10,0,0,3,5,1,0
Moussa Sissoko,33,Midfielder,Tottenham Hotspur,2336,France,29,0,3,11,26,2,0
N'Golo Kanté,31,Midfielder,Chelsea,3096,France,36,4,4,15,37,3,0
Naby Deco Keïta,27,Midfielder,Liverpool,1392,Guinea,25,2,1,15,7,0,0
Nacho Monreal,36,Defender,Arsenal,1861,Spain,22,1,3,6,21,5,0
Nampalys Mendy,30,Midfielder,Leicester City,2088,France,31,0,0,9,26,5,0
Nathan Aké,27,Defender,AFC Bournemouth,3412,Netherlands,38,4,0,10,66,3,0
Nathan Holland,24,Midfielder,West Ham United,0,England,0,0,0,0,0,0,0
Nathan Redmond,28,Midfielder,Southampton,3276,England,38,6,4,7,53,3,0
Nathaniel Chalobah,27,Midfielder,Watford,266,England,9,0,0,1,5,2,0
Nathaniel Clyne,31,Defender,AFC Bournemouth,1254,England,18,0,1,6,24,2,0
Nathaniel Mendez-Laing,30,Midfielder,Cardiff City,984,England,20,4,1,6,15,0,0
Neeskens Kebano,30,Midfielder,Fulham,103,Congo DR,7,0,0,0,1,0,0
Neil Leonard Dula Etheridge,32,Goalkeeper,Cardiff City,3420,Philippines,38,0,0,10,61,2,0
Nemanja Matić,34,Midfielder,Manchester United,2441,Serbia,28,1,0,6,35,8,1
Nicolas Otamendi,34,Defender,Manchester City,1233,Argentina,18,0,0,10,7,1,0
Nikola Tavares,23,Defender,Crystal Palace,0,England,0,0,0,0,0,0,0
Nnamdi Ofoborh,22,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0,0,0
Oleksandr Zinchenko,25,Midfielder,Manchester City,1153,Ukraine,14,0,3,10,4,1,0
Oliver Skipp,22,Midfielder,Tottenham Hotspur,216,England,8,0,0,4,0,0,0
Olivier Giroud,36,Forward,Chelsea,832,France,27,2,4,12,4,1,0
Onyinye Wilfred Ndidi,25,Midfielder,Leicester City,3299,Nigeria,38,2,0,10,42,8,0
Oriol Romeu,31,Midfielder,Southampton,2140,Spain,31,1,0,6,32,11,0
Oumar Niasse,32,Forward,Cardiff City,998,Senegal,18,0,0,3,12,0,0
Pablo Zabaleta,37,Defender,West Ham United,2092,Argentina,26,0,1,4,32,4,0
Pape N'Diaye Souaré,32,Defender,Crystal Palace,0,Senegal,1,0,0,1,0,0,0
Pascal Groß,31,Midfielder,Brighton & Hove Albion,1878,Germany,25,3,3,3,31,1,0
Patrick van Aanholt,32,Defender,Crystal Palace,3198,Netherlands,36,3,2,12,41,3,0
Paul Dummett,31,Defender,Newcastle United,1986,Wales,26,0,0,9,27,1,0
Paul Pogba,29,Midfielder,Manchester United,3011,France,35,13,9,7,41,6,0
Paulo Dino Gazzaniga,30,Goalkeeper,Tottenham Hotspur,270,Argentina,3,0,0,1,1,0,0
Pedro Obiang,30,Midfielder,West Ham United,1121,Equatorial Guinea,24,0,1,7,17,0,0
Pedro Rodriguez,35,Midfielder,Chelsea,1780,Spain,31,8,2,11,18,2,0
Peter Crouch,41,Forward,Burnley,86,England,6,0,0,0,0,1,0
Petr Čech,40,Goalkeeper,Arsenal,585,Czech Republic,7,0,0,2,8,0,0
Phil Bardsley,37,Defender,Burnley,1672,Scotland,19,0,0,4,22,9,0
Phil Jagielka,40,Defender,Everton,329,England,7,1,0,5,2,1,1
Phil Jones,30,Defender,Manchester United,1263,England,18,0,1,4,16,1,0
Philip Billing,26,Midfielder,Huddersfield Town,2192,Denmark,27,2,0,5,41,7,0
Philip Foden,22,Midfielder,Manchester City,327,England,13,1,0,8,0,0,0
Philippe Sandler,25,Defender,Manchester City,0,Netherlands,0,0,0,0,0,0,0
 Aubameyang,33,Forward,Arsenal,2731,Gabon,36,22,5,8,40,0,0
Pierre-Emile Højbjerg,27,Midfielder,Southampton,2764,Denmark,31,4,3,4,52,10,2
Rachid Ghezzal,30,Forward,Leicester City,738,Algeria,19,1,0,3,12,3,0
Rafael Euclides Soares Camacho,22,Midfielder,Liverpool,0,Portugal,1,0,0,0,0,0,0
Raheem Sterling,27,Forward,Manchester City,2777,England,34,17,10,18,19,3,0
Rajiv van La Parra,31,Midfielder,Huddersfield Town,407,Netherlands,5,0,0,1,6,0,0
Ramadan Sobhi,25,Forward,Huddersfield Town,75,Egypt,4,0,0,0,1,0,0
Raúl Alonso Jiménez Rodríguez,31,Forward,Wolverhampton Wanderers,3124,Mexico,38,13,7,9,39,4,0
Rhys Healey,27,Forward,Cardiff City,49,England,3,0,0,1,1,0,0
Ricardo Domingos Barbosa Pereira,29,Defender,Leicester City,3125,Portugal,35,2,6,10,40,7,0
Richarlison de Andrade,25,Forward,Everton,2679,Brazil,35,13,1,14,32,6,1
Riyad Mahrez,31,Midfielder,Manchester City,1339,Algeria,27,7,4,13,9,0,0
Rob Holding,27,Defender,Arsenal,807,England,10,0,0,2,10,1,0
Robbie Brady,30,Midfielder,Burnley,715,Republic of Ireland,16,0,1,2,12,4,1
Robert Kenedy Nunes do Nascimento,26,Midfielder,Newcastle United,1344,Brazil,25,1,1,8,17,1,0
Robert Snodgrass,35,Midfielder,West Ham United,2222,Scotland,33,2,5,6,31,10,0
Roberto Firmino,31,Forward,Liverpool,2620,Brazil,34,12,6,18,13,0,0
Roberto Maximiliano Pereyra,31,Forward,Watford,2825,Argentina,33,6,1,5,52,3,0
Romain Saïss,32,Midfielder,Wolverhampton Wanderers,1144,Morocco,19,2,0,4,16,7,0
Romelu Lukaku,29,Forward,Manchester United,2130,Belgium,32,12,0,7,36,4,0
Rondon,33,Forward,Newcastle United,2609,Venezuela,32,11,7,10,29,1,0
Ross Barkley,28,Midfielder,Chelsea,1241,England,27,3,5,11,13,1,0
Rúben Diogo Da Silva Neves,25,Midfielder,Wolverhampton Wanderers,3009,Portugal,35,4,3,8,40,8,0
Rúben Gonçalo Silva Nascimento Vinagre,23,Defender,Wolverhampton Wanderers,703,Portugal,17,0,0,5,9,1,0
Ruben Loftus-Cheek,26,Midfielder,Chelsea,983,England,24,6,2,12,8,0,0
Rui Pedro dos Santos Patrício,34,Goalkeeper,Wolverhampton Wanderers,3330,Portugal,37,0,0,8,43,0,0
Ryan Bennett,32,Defender,Wolverhampton Wanderers,3060,England,34,1,0,9,36,12,0
Ryan Bertrand,33,Defender,Southampton,2160,England,24,1,0,6,36,8,0
Ryan Fraser,28,Midfielder,AFC Bournemouth,3173,Scotland,38,7,14,10,61,2,0
Ryan Fredericks,30,Midfielder,West Ham United,1085,England,15,1,0,3,13,5,0
Ryan Giles,22,Midfielder,Wolverhampton Wanderers,0,England,0,0,0,0,0,0,0
Ryan Guno Babel,35,Forward,Fulham,1260,Netherlands,16,5,3,3,24,3,0
Ryan Schofield,22,Goalkeeper,Huddersfield Town,0,England,0,0,0,0,0,0,0
Ryan Sessegnon,22,Defender,Fulham,2298,England,35,2,6,4,58,0,0
Sadio Mané,30,Forward,Liverpool,3086,Senegal,36,22,1,20,18,2,0
Sam Gallagher,27,Forward,Southampton,30,England,4,0,0,1,0,0,0
Sam Surridge,24,Forward,AFC Bournemouth,11,England,2,0,0,0,0,0,0
Sam Vokes,33,Forward,Burnley,913,Wales,20,3,0,4,18,0,0
Sam Woods,24,Defender,Crystal Palace,0,England,0,0,0,0,0,0,0
Samir Nasri,35,Midfielder,West Ham United,246,France,5,0,2,1,2,0,0
Sandro Ramirez,27,Forward,Everton,0,Spain,0,0,0,0,0,0,0
Scott Dann,35,Defender,Crystal Palace,660,England,10,0,1,3,7,1,0
Scott McTominay,25,Midfielder,Manchester United,861,England,16,2,0,3,17,1,0
Sead Kolašinac,29,Defender,Arsenal,1891,Bosnia and Herzegovina,24,0,5,5,26,5,0
Séamus Coleman,34,Defender,Everton,2560,Republic of Ireland,29,2,2,13,29,1,0
Sean Longstaff,25,Midfielder,Newcastle United,688,England,9,1,0,3,8,2,0
Sean Morrison,31,Defender,Cardiff City,3040,England,34,1,3,9,57,6,0
Sebastian Prödl,35,Defender,Watford,13,Austria,1,0,0,1,0,0,0
Serge Aurier,29,Defender,Tottenham Hotspur,564,Ivory Coast,8,0,2,3,9,1,0
Sergio Aguero,34,Forward,Manchester City,2480,Argentina,33,21,8,19,15,3,0
Sergio Germán Romero,35,Goalkeeper,Manchester United,0,Argentina,0,0,0,0,0,0,0
Sergio Rico,29,Goalkeeper,Fulham,2610,Spain,29,0,0,5,53,1,0
Shane Duffy,30,Defender,Brighton & Hove Albion,3088,Republic of Ireland,35,5,1,7,51,5,1
Shane Long,35,Forward,Southampton,1269,Republic of Ireland,26,5,1,5,20,3,0
Shinji Okazaki,36,Forward,Leicester City,269,Japan,21,0,1,2,1,0,0
Shkodran Mustafi,30,Defender,Arsenal,2617,Germany,31,2,0,6,36,9,0
Simon Francis,37,Defender,AFC Bournemouth,1226,England,17,0,2,5,23,1,0
Simon Mignolet,34,Goalkeeper,Liverpool,0,Belgium,0,0,0,0,0,0,0
Sokratis Papastathopoulos,34,Defender,Arsenal,2199,Greece,25,1,2,6,31,12,0
Solomon March,28,Midfielder,Brighton & Hove Albion,2473,England,35,1,5,6,39,1,0
Souleymane Bamba,37,Defender,Cardiff City,2475,Ivory Coast,28,4,1,7,46,7,0
Stefan Marius Johansen,31,Midfielder,Fulham,412,Norway,12,0,0,0,11,4,0
Stefano Okaka,33,Forward,Watford,22,Italy,2,0,0,0,1,1,0
Stephan Lichtsteiner,38,Defender,Arsenal,940,Switzerland,14,0,0,2,18,3,0
Stephen Ward,37,Defender,Burnley,230,Republic of Ireland,3,0,0,1,6,1,0
Steve Cook,31,Defender,AFC Bournemouth,2787,England,31,1,1,9,53,3,0
Steve Mounié,28,Forward,Huddersfield Town,1777,Benin,31,2,3,5,34,2,1
Steven Davis,37,Midfielder,Southampton,96,Northern Ireland,3,0,1,0,3,0,0
Steven Defour,34,Midfielder,Burnley,452,Belgium,6,0,0,1,12,0,0
Stuart Armstrong,30,Midfielder,Southampton,1432,Scotland,29,3,2,4,23,2,0
Sullay Kaikai,27,Midfielder,Crystal Palace,0,England,0,0,0,0,0,0,0
Sung-Yeung Ki,33,Midfielder,Newcastle United,1302,South Korea,18,0,1,5,18,2,0
Tahith Chong,22,Forward,Manchester United,36,Netherlands,2,0,0,0,1,0,0
Terence Kongolo,28,Defender,Huddersfield Town,2722,Netherlands,32,1,1,4,62,4,0
Theo Walcott,33,Forward,Everton,2122,England,37,5,2,13,33,1,0
Tim Ream,35,Defender,Fulham,2051,USA,26,0,0,5,47,1,0
Timothy Eyoma,22,Defender,Tottenham Hotspur,0,England,0,0,0,0,0,0,0
Timothy Fosu-Mensah,24,Defender,Fulham,795,Netherlands,12,0,0,1,18,3,0
Toby Alderweireld,33,Defender,Tottenham Hotspur,2924,Belgium,34,0,0,12,28,3,0
Tom Cairney,31,Midfielder,Fulham,2198,Scotland,31,1,1,4,49,0,0
Tom Cleverley,33,Midfielder,Watford,470,England,13,1,0,4,7,2,0
Tom Davies,24,Midfielder,Everton,975,England,16,0,0,5,18,3,0
Tom Heaton,36,Goalkeeper,Burnley,1710,England,19,0,0,4,23,3,0
Tom Smith,30,Defender,Huddersfield Town,1141,England,15,0,0,1,34,3,1
Trent Alexander-Arnold,24,Defender,Liverpool,2467,England,29,1,12,16,14,3,0
Troy Deeney,34,Forward,Watford,2548,England,32,9,5,5,43,5,1
Tyias Browning,28,Defender,Everton,0,England,0,0,0,0,0,0,0
Tyreke Johnson,24,Defender,Southampton,0,England,1,0,0,0,0,0,0
Tyrone Mings,29,Defender,AFC Bournemouth,141,England,5,0,0,0,4,0,0
Vicente Guaita,35,Goalkeeper,Crystal Palace,1755,Spain,20,0,0,7,21,2,0
Vicente Iborra De La Fuente,34,Midfielder,Leicester City,226,Spain,8,0,0,3,4,0,0
Víctor Camarasa,28,Midfielder,Cardiff City,2579,Spain,32,5,4,8,48,6,0
Victor Moses,31,Midfielder,Chelsea,26,Nigeria,2,0,0,1,1,0,0
Victor Nilsson Lindelöf,28,Defender,Manchester United,2602,Sweden,30,1,1,6,38,1,0
Victor Wanyama,31,Midfielder,Tottenham Hotspur,509,Kenya,13,1,0,6,3,2,0
Viktor Gyökeres,24,Forward,Brighton & Hove Albion,0,Sweden,0,0,0,0,0,0,0
Vincent Janssen,28,Forward,Tottenham Hotspur,36,Netherlands,3,0,0,1,0,0,0
Vincent Kompany,36,Defender,Manchester City,1223,Belgium,17,1,0,7,7,6,0
Virgil van Dijk,31,Defender,Liverpool,3385,Netherlands,38,4,2,21,19,1,0
Wayne Hennessey,35,Goalkeeper,Crystal Palace,1575,Wales,18,0,0,5,23,0,0
Wes Morgan,38,Defender,Leicester City,1926,Jamaica,22,3,0,6,24,5,2
Wesley Hoedt,28,Defender,Southampton,1170,Netherlands,13,0,0,4,20,2,0
Wilfredo Daniel Caballero,41,Goalkeeper,Chelsea,180,Argentina,2,0,0,2,0,0,0
Wilfried Zaha,29,Midfielder,Crystal Palace,3041,Ivory Coast,34,10,5,10,45,10,1
Will Hughes,27,Midfielder,Watford,2436,England,32,2,4,5,39,5,0
Will Norris,29,Goalkeeper,Wolverhampton Wanderers,0,England,1,0,0,1,0,0,0
Willian,34,Forward,Chelsea,2108,Brazil,32,3,6,13,23,2,0
Willy Boly,31,Defender,Wolverhampton Wanderers,3169,France,36,4,0,8,38,3,1
Xherdan Shaqiri,31,Midfielder,Liverpool,1058,Switzerland,24,6,3,12,5,2,0
Yann Valery,23,Defender,Southampton,1715,France,23,2,1,3,26,5,1
Yerry Fernando Mina González,28,Defender,Everton,890,Colombia,13,1,0,4,12,3,0
Yoshinori Muto,30,Forward,Newcastle United,516,Japan,17,1,0,5,10,1,0
Youri Tielemans,25,Midfielder,Leicester City,1092,Belgium,13,3,4,3,13,2,0
Yves Bissouma,26,Midfielder,Brighton & Hove Albion,1769,Mali,28,0,0,5,30,5,0
Zechariah Medley,22,Defender,Arsenal,0,England,0,0,0,0,0,0,0
Zeze Steven Sessegnon,22,Defender,Fulham,0,England,0,0,0,0,0,0,0
Łukasz Fabiański,37,Goalkeeper,West Ham United,3420,Poland,38,0,0,7,48,0,0
